中国历代政治得失,9.2,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元
月亮和六便士TheMoonandSixpence,9.0,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元
肖申克的救赎 DifferentSeasons,9.1,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元
基督山伯爵LeComtedeMonte-Cristo,9.0,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
东方快车谋杀案 MurderontheOrientExpress,9.0,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元
追风筝的人 TheKiteRunner,8.9,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元
万历十五年,8.9,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元
江城 RiverTown,9.1,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元
新名字的故事:那不勒斯四部曲-02 Storiadelnuovocognome,9.0,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元
嫌疑人X的献身容疑者Xの献身,8.9,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00
失踪的孩子:那不勒斯四部曲-04 ,9.1,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元
刀锋TheRazor'sEdge,9.0,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元
呐喊,8.9,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元
寻路中国:从乡村到工厂的自驾之旅 CountryDriving:AJourneyThroughChinafromFarmtoFactory,9.0,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元
乡土中国,9.2,费孝通 / 上海人民出版社 / 2006-4 / 38.00
射雕英雄传（全四册）,9.0,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元
城南旧事:纪念普及版,9.0,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元
我与地坛:史铁生代表作,9.1,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元
傲慢与偏见PrideandPrejudice,8.9,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元
